Wersja;Data;Mediana
4.0.10;Oct 03, 2013;6,5
4.0.9;Sep 06, 2013;6,5
4.0.8;Aug 26, 2013;6,5
4.0.7;Aug 08, 2013;6,5
4.0.6;Aug 01, 2013;6,5
4.0.5;Jul 31, 2013;6,5
4.0.4;Jul 23, 2013;6,5
4.0.3;Jul 18, 2013;6,5
4.0.2;Jul 17, 2013;6,5
4.0.1;Jul 16, 2013;6,5
4.0.0;Jul 15, 2013;6,5
